seller_,seller,make_,make,no
20,8,Acura,20001,5
67,17,Acura,20001,1
69,18,Acura,20001,1
74,19,Acura,20001,1
116,27,Acura,20001,1
120,28,Acura,20001,4
171,43,Acura,20001,7
267,72,Acura,20001,1
316,81,Acura,20001,1
369,101,Acura,20001,2
398,110,Acura,20001,2
425,114,Acura,20001,6
455,121,Acura,20001,1
456,122,Acura,20001,1
536,133,Acura,20001,1
653,158,Acura,20001,2
703,170,Acura,20001,1
704,171,Acura,20001,4
787,185,Acura,20001,1
845,195,Acura,20001,1
942,209,Acura,20001,1
1015,222,Acura,20001,1
1129,239,Acura,20001,1
2319,281,Acura,20001,1
2398,290,Acura,20001,1
2551,318,Acura,20001,1
2569,321,Acura,20001,7
2594,324,Acura,20001,1
2705,346,Acura,20001,2
2929,366,Acura,20001,1
3159,387,Acura,20001,1
3169,390,Acura,20001,1
3191,397,Acura,20001,1
3233,406,Acura,20001,1
3332,418,Acura,20001,1
3351,422,Acura,20001,5
3416,430,Acura,20001,1
3544,448,Acura,20001,1
3559,451,Acura,20001,2
3650,466,Acura,20001,1
3684,470,Acura,20001,2
3848,478,Acura,20001,1
4083,491,Acura,20001,1
4090,492,Acura,20001,2
4110,496,Acura,20001,3
4127,500,Acura,20001,1
4200,513,Acura,20001,1
4206,514,Acura,20001,1
4335,529,Acura,20001,1
4418,545,Acura,20001,1
4508,551,Acura,20001,4
4631,573,Acura,20001,3
4637,574,Acura,20001,1
4665,580,Acura,20001,1
4716,588,Acura,20001,1
4773,600,Acura,20001,1
4817,608,Acura,20001,3
5113,632,Acura,20001,1
5131,634,Acura,20001,2
5303,655,Acura,20001,1
5312,656,Acura,20001,1
5386,665,Acura,20001,1
5393,666,Acura,20001,1
5483,673,Acura,20001,1
5491,674,Acura,20001,1
5690,693,Acura,20001,1
5729,697,Acura,20001,2
5848,715,Acura,20001,2
5919,718,Acura,20001,2
6374,732,Acura,20001,1
6764,736,Acura,20001,2
6813,738,Acura,20001,1
6947,745,Acura,20001,1
7057,748,Acura,20001,1
7734,783,Acura,20001,2
7767,788,Acura,20001,1
7819,794,Acura,20001,1
8142,842,Acura,20001,9
8399,854,Acura,20001,1
8405,856,Acura,20001,1
8407,858,Acura,20001,1
8414,860,Acura,20001,1
8425,862,Acura,20001,1
8432,864,Acura,20001,1
8717,878,Acura,20001,1
9025,903,Acura,20001,1
9133,906,Acura,20001,1
9441,917,Acura,20001,1
9455,918,Acura,20001,1
9571,930,Acura,20001,5
9826,953,Acura,20001,1
9842,956,Acura,20001,1
9864,961,Acura,20001,1
9866,963,Acura,20001,1
10056,970,Acura,20001,1
10095,974,Acura,20001,4
10194,987,Acura,20001,1
10226,992,Acura,20001,1
10366,1000,Acura,20001,1
10457,1008,Acura,20001,1
10654,1038,Acura,20001,1
10702,1045,Acura,20001,1
10731,1048,Acura,20001,1
10957,1068,Acura,20001,1
11374,1081,Acura,20001,1
11564,1083,Acura,20001,1
11583,1085,Acura,20001,1
11661,1091,Acura,20001,1
11792,1101,Acura,20001,7
12047,1115,Acura,20001,1
12051,1117,Acura,20001,1
12363,1135,Acura,20001,1
12385,1136,Acura,20001,1
12547,1150,Acura,20001,1
12566,1154,Acura,20001,5
12636,1160,Acura,20001,1
12649,1161,Acura,20001,1
12716,1167,Acura,20001,1
12797,1177,Acura,20001,2
13406,1219,Acura,20001,3
13410,1221,Acura,20001,1
13473,1230,Acura,20001,5
13541,1239,Acura,20001,1
13725,1254,Acura,20001,2
14067,1290,Acura,20001,1
14081,1293,Acura,20001,1
14163,1301,Acura,20001,1
14170,1302,Acura,20001,1
14174,1303,Acura,20001,1
14220,1313,Acura,20001,1
14280,1326,Acura,20001,1
14427,1341,Acura,20001,1
14498,1350,Acura,20001,3
14546,1360,Acura,20001,1
14597,1374,Acura,20001,1
14625,1388,Acura,20001,1
14935,1405,Acura,20001,1
15109,1414,Acura,20001,1
15222,1426,Acura,20001,1
16864,1523,Acura,20001,1
16993,1540,Acura,20001,1
17006,1542,Acura,20001,1
17378,1558,Acura,20001,1
17807,1563,Acura,20001,1
17951,1567,Acura,20001,1
19459,1598,Acura,20001,1
19466,1601,Acura,20001,1
19471,1603,Acura,20001,1
19523,1607,Acura,20001,1
19591,1618,Acura,20001,1
19593,1620,Acura,20001,1
20120,1630,Acura,20001,1
20136,1631,Acura,20001,1
20197,1636,Acura,20001,1
20211,1639,Acura,20001,1
20250,1643,Acura,20001,1
20334,1645,Acura,20001,1
20375,1647,Acura,20001,2
20597,1656,Acura,20001,1
20600,1657,Acura,20001,1
20642,1659,Acura,20001,1
20668,1661,Acura,20001,1
20680,1662,Acura,20001,1
20782,1669,Acura,20001,1
20792,1671,Acura,20001,2
20794,1672,Acura,20001,1
20953,1676,Acura,20001,1
21031,1679,Acura,20001,1
22207,1714,Acura,20001,2
22237,1721,Acura,20001,7
22722,1754,Acura,20001,1
23018,1776,Acura,20001,1
23023,1777,Acura,20001,1
23025,1779,Acura,20001,8
23084,1798,Acura,20001,1
23515,1837,Acura,20001,1
23569,1843,Acura,20001,3
23571,1844,Acura,20001,2
23595,1846,Acura,20001,1
23664,1849,Acura,20001,1
23676,1852,Acura,20001,13
23731,1855,Acura,20001,5
23916,1861,Acura,20001,12
23921,1862,Acura,20001,1
23926,1863,Acura,20001,1
24133,1869,Acura,20001,1
24138,1872,Acura,20001,1
24471,1889,Acura,20001,1
25416,1957,Acura,20001,3
25438,1964,Acura,20001,2
25485,1973,Acura,20001,3
25507,1975,Acura,20001,1
25538,1985,Acura,20001,1
25583,1996,Acura,20001,1
25599,1997,Acura,20001,4
25642,2008,Acura,20001,1
25696,2019,Acura,20001,4
25706,2021,Acura,20001,1
25718,2022,Acura,20001,6
25731,2024,Acura,20001,3
25732,2025,Acura,20001,1
25744,2027,Acura,20001,1
25759,2031,Acura,20001,1
25790,2042,Acura,20001,3
25852,2050,Acura,20001,3
25934,2054,Acura,20001,2
26004,2063,Acura,20001,1
26013,2064,Acura,20001,19
26082,2069,Acura,20001,8
26119,2072,Acura,20001,3
26133,2073,Acura,20001,1
26138,2075,Acura,20001,1
26145,2077,Acura,20001,1
26254,2085,Acura,20001,1
26264,2086,Acura,20001,6
26269,2087,Acura,20001,1
26296,2094,Acura,20001,1
26345,2101,Acura,20001,2
26419,2105,Acura,20001,1
26482,2108,Acura,20001,1
26496,2111,Acura,20001,1
26552,2121,Acura,20001,1
26629,2133,Acura,20001,1
26904,2162,Acura,20001,1
27018,2165,Acura,20001,8
27032,2166,Acura,20001,1
27095,2170,Acura,20001,1
80207,2200,Acura,20001,1
80223,2202,Acura,20001,1
80248,2209,Acura,20001,1
80277,2212,Acura,20001,1
80284,2216,Acura,20001,1
80289,2218,Acura,20001,1
80692,2261,Acura,20001,1
81479,2285,Acura,20001,1
81752,2292,Acura,20001,2
81764,2295,Acura,20001,1
82965,2318,Acura,20001,1
83072,2320,Acura,20001,1
84904,2387,Acura,20001,1
84916,2391,Acura,20001,2
84923,2393,Acura,20001,3
85159,2399,Acura,20001,1
85747,2411,Acura,20001,2
85925,2417,Acura,20001,1
87666,2436,Acura,20001,2
87872,2445,Acura,20001,1
88120,2452,Acura,20001,1
88570,2474,Acura,20001,1
88777,2484,Acura,20001,2
88957,2492,Acura,20001,1
90380,2534,Acura,20001,1
90409,2537,Acura,20001,1
92400,2556,Acura,20001,1
92680,2561,Acura,20001,4
